nr,year,black,exper,hisp,hours,married,educ,union,lwage,expersq,occupation,id
13,1980,0,1,0,2672,0,14,0,1.19754,1,9,1
13,1981,0,2,0,2320,0,14,1,1.85306,4,9,1
13,1982,0,3,0,2940,0,14,0,1.344462,9,9,1
13,1983,0,4,0,2960,0,14,0,1.4332129999999998,16,9,1
13,1984,0,5,0,3071,0,14,0,1.568125,25,5,1
13,1985,0,6,0,2864,0,14,0,1.699891,36,2,1
13,1986,0,7,0,2994,0,14,0,-0.7202626,49,2,1
13,1987,0,8,0,2640,0,14,0,1.6691880000000001,64,2,1
17,1980,0,4,0,2484,0,13,0,1.675962,16,2,2
17,1981,0,5,0,2804,0,13,0,1.518398,25,2,2
17,1982,0,6,0,2530,0,13,0,1.559191,36,2,2
17,1983,0,7,0,2340,0,13,0,1.7254099999999999,49,2,2
17,1984,0,8,0,2486,0,13,0,1.6220219999999999,64,2,2
17,1985,0,9,0,2164,0,13,0,1.608588,81,7,2
17,1986,0,10,0,2749,0,13,0,1.5723850000000001,100,7,2
17,1987,0,11,0,2476,0,13,0,1.8203340000000001,121,5,2
18,1980,0,4,0,2332,1,12,0,1.515963,16,4,3
18,1981,0,5,0,2116,1,12,0,1.735379,25,4,3
18,1982,0,6,0,2500,1,12,0,1.631744,36,2,3
18,1983,0,7,0,2474,1,12,0,1.998229,49,3,3
18,1984,0,8,0,2362,1,12,0,2.184014,64,3,3
18,1985,0,9,0,2340,1,12,0,2.2666619999999997,81,3,3
18,1986,0,10,0,2340,1,12,0,2.069944,100,3,3
18,1987,0,11,0,2340,1,12,0,2.873161,121,3,3
45,1980,0,2,0,1864,0,12,1,1.8941150000000002,4,7,4
45,1981,0,3,0,2021,0,12,1,1.471159,9,6,4
45,1982,0,4,0,2274,0,12,0,1.473498,16,6,4
45,1983,0,5,0,2112,0,12,0,1.7409139999999999,25,6,4
45,1984,0,6,0,1920,0,12,0,1.823214,36,6,4
45,1985,0,7,0,2205,0,12,0,1.9082729999999999,49,6,4
45,1986,0,8,0,2551,0,12,0,1.742447,64,4,4
45,1987,0,9,0,2860,1,12,0,2.1356889999999997,81,4,4
110,1980,0,5,0,2080,0,12,1,1.948775,25,4,5
110,1981,0,6,0,2080,0,12,0,1.962259,36,4,5
110,1982,0,7,0,2639,0,12,0,1.963297,49,2,5
110,1983,0,8,0,2223,0,12,0,2.202516,64,2,5
110,1984,0,9,0,2150,1,12,0,2.134954,81,1,5
110,1985,0,10,0,1532,1,12,0,2.125823,100,1,5
110,1986,0,11,0,2080,1,12,0,1.9910169999999998,121,4,5
110,1987,0,12,0,2080,1,12,0,2.112393,144,4,5
120,1980,0,2,0,1025,0,10,0,0.2585549,4,9,6
120,1981,0,3,0,1496,0,10,0,1.319972,9,9,6
120,1982,0,4,0,1394,0,10,0,1.462085,16,9,6
120,1983,0,5,0,2924,0,10,0,1.320287,25,9,6
